Current (pA),Frequency (Hz)
109.0180360721443,25
109.4188376753507,25
109.81963927855712,26
110.22044088176354,26
110.62124248496994,26
111.02204408817636,26
111.42284569138278,6
111.82364729458918,4
112.2244488977956,4
112.62525050100201,3
113.02605210420842,3
113.42685370741484,3
113.82765531062124,3
114.22845691382766,3
114.62925851703407,2
115.03006012024048,2
115.4308617234469,2
115.83166332665331,2
116.23246492985972,2
116.63326653306613,2
117.03406813627255,2
117.43486973947896,2
117.83567134268537,2
118.23647294589179,2
118.6372745490982,2
119.03807615230461,2
119.43887775551103,2
119.83967935871743,2
120.24048096192385,2
120.64128256513027,2
121.04208416833667,2
121.44288577154309,2
121.8436873747495,1
122.24448897795591,1
122.64529058116233,1
123.04609218436875,1
123.44689378757515,1
123.84769539078157,1
124.24849699398798,1
124.64929859719439,1
125.0501002004008,1
125.45090180360722,1
125.85170340681363,1
126.25250501002004,1
126.65330661322646,1
127.05410821643287,1
127.45490981963928,1
127.8557114228457,1
128.25651302605212,1
128.6573146292585,1
129.05811623246493,1
129.45891783567134,1
129.85971943887776,1
130.26052104208418,1
130.6613226452906,1
131.06212424849699,1
131.4629258517034,1
131.86372745490982,1
132.26452905811624,1
132.66533066132266,1
133.06613226452907,1
133.46693386773546,1
133.86773547094188,1
134.2685370741483,1
134.66933867735472,1
135.07014028056113,1
135.47094188376755,1
135.87174348697394,1
136.27254509018036,1
136.67334669338678,1
137.0741482965932,1
137.4749498997996,1
137.87575150300603,1
138.27655310621242,1
138.67735470941884,1
139.07815631262525,1
139.47895791583167,1
139.8797595190381,1
140.2805611222445,1
140.6813627254509,1
141.0821643286573,1
141.48296593186373,1
141.88376753507015,1
142.28456913827657,1
142.68537074148298,1
143.08617234468937,1
143.4869739478958,1
143.8877755511022,1
144.28857715430863,1
144.68937875751504,1
145.09018036072143,1
145.49098196392785,1
145.89178356713427,1
146.2925851703407,1
146.6933867735471,1
147.09418837675352,1
147.4949899799599,1
147.89579158316633,1
148.29659318637275,1
148.69739478957916,1
149.09819639278558,1
149.498997995992,1
149.8997995991984,1
150.3006012024048,1
150.70140280561122,1
151.10220440881764,1
151.50300601202406,1
151.90380761523048,1
152.30460921843687,1
152.70541082164328,1
153.1062124248497,1
153.50701402805612,1
153.90781563126254,1
154.30861723446895,1
154.70941883767534,1
155.11022044088176,1
155.51102204408818,1
155.9118236472946,1
156.31262525050101,1
156.71342685370743,1
157.11422845691382,1
157.51503006012024,1
157.91583166332666,1
158.31663326653307,1
158.7174348697395,1
159.1182364729459,1
159.5190380761523,1
159.91983967935872,1
160.32064128256513,1
160.72144288577155,1
161.12224448897797,1
161.5230460921844,1
161.92384769539078,1
162.3246492985972,1
162.7254509018036,1
163.12625250501003,1
163.52705410821645,1
163.92785571142286,1
164.32865731462925,1
164.72945891783567,1
165.1302605210421,1
165.5310621242485,1
165.93186372745492,1
166.3326653306613,1
166.73346693386773,1
167.13426853707415,1
167.53507014028057,1
167.93587174348698,1
168.3366733466934,1
168.7374749498998,1
169.1382765531062,1
169.53907815631263,1
169.93987975951904,1
170.34068136272546,1
170.74148296593188,1
171.14228456913827,1
171.5430861723447,1
171.9438877755511,1
172.34468937875752,1
172.74549098196394,1
173.14629258517036,1
173.54709418837675,1
173.94789579158316,1
174.34869739478958,1
174.749498997996,1
175.15030060120242,1
175.55110220440883,1
175.95190380761522,1
176.35270541082164,1
176.75350701402806,1
177.15430861723448,1
177.5551102204409,1
177.9559118236473,1
178.3567134268537,1
178.75751503006012,1
179.15831663326654,1
